2019-08-13 01:16:56 DEBUG PhoneNumberEncodingTask:34 - Successfully loaded the configuration properties from : application.properties
2019-08-13 01:16:56 DEBUG PhoneNumberEncodingTask:42 - Starting encoding of phone numbers
2019-08-13 01:16:56 DEBUG DictionaryFileService:29 - Fetching Dictionary Items from : dictionaries/dictionary.txt
2019-08-13 01:16:56 DEBUG DictionaryFileService:45 - Successfully loaded dictionaries to memory
2019-08-13 01:16:56 DEBUG ReadAndEncodePhoneNumber:37 - Fetching Input phone number Items from : inputPhoneNumbers/input.txt
2019-08-13 01:16:58 INFO  ReadAndEncodePhoneNumber:50 - 38-: so
2019-08-13 01:17:20 INFO  ReadAndEncodePhoneNumber:50 - -9097-/7297: Zeh Burg 7
2019-08-13 01:17:20 INFO  ReadAndEncodePhoneNumber:50 - -9097-/7297: Zeh kurz 7
2019-08-13 01:17:20 INFO  ReadAndEncodePhoneNumber:50 - -9097-/7297: Zeh Kur zu
2019-08-13 01:17:21 INFO  ReadAndEncodePhoneNumber:50 - /5: 5
2019-08-13 01:17:22 INFO  ReadAndEncodePhoneNumber:50 - -89947-2: oh 9 Tu"r
2019-08-13 01:17:22 INFO  ReadAndEncodePhoneNumber:50 - -89947-2: oh 9 fu"r
2019-08-13 01:17:23 INFO  ReadAndEncodePhoneNumber:50 - 3593/: sah 3
2019-08-13 01:17:23 INFO  ReadAndEncodePhoneNumber:50 - /4: 4
2019-08-13 01:17:23 INFO  ReadAndEncodePhoneNumber:50 - 1959175446: 1 Hahn Kaff 6
2019-08-13 01:17:23 INFO  ReadAndEncodePhoneNumber:50 - 1959175446: 1 Zahn Kaff 6
2019-08-13 01:17:23 INFO  ReadAndEncodePhoneNumber:50 - 18//91: John
2019-08-13 01:17:24 INFO  ReadAndEncodePhoneNumber:50 - 857: lau
2019-08-13 01:17:24 INFO  ReadAndEncodePhoneNumber:50 - 58200: Mo"we 0
2019-08-13 01:17:24 INFO  ReadAndEncodePhoneNumber:50 - 6-22487/: irrt ok
2019-08-13 01:17:24 INFO  ReadAndEncodePhoneNumber:50 - 6-22487/: irrt ob
2019-08-13 01:17:25 INFO  ReadAndEncodePhoneNumber:50 - -0: 0
2019-08-13 01:17:25 INFO  ReadAndEncodePhoneNumber:50 - 105852: je Alm 2
2019-08-13 01:17:26 INFO  ReadAndEncodePhoneNumber:50 - 2: 2
2019-08-13 01:17:27 INFO  ReadAndEncodePhoneNumber:50 - -11/0: 1 je
2019-08-13 01:17:31 INFO  ReadAndEncodePhoneNumber:50 - 750612/531/075-3: um ein Rad neu As
2019-08-13 01:17:31 INFO  ReadAndEncodePhoneNumber:50 - 750612/531/075-3: um Einrad je Bad
2019-08-13 01:17:31 INFO  ReadAndEncodePhoneNumber:50 - 750612/531/075-3: um ein Rad je um 3
2019-08-13 01:17:31 INFO  ReadAndEncodePhoneNumber:50 - 750612/531/075-3: um ein was neu As
2019-08-13 01:17:31 INFO  ReadAndEncodePhoneNumber:50 - 750612/531/075-3: um ein was je Bad
2019-08-13 01:17:31 INFO  ReadAndEncodePhoneNumber:50 - 750612/531/075-3: um Einrad neu As
2019-08-13 01:17:31 INFO  ReadAndEncodePhoneNumber:50 - 750612/531/075-3: um ein was je um 3
2019-08-13 01:17:31 INFO  ReadAndEncodePhoneNumber:50 - 750612/531/075-3: um Einrad je um 3
2019-08-13 01:17:31 INFO  ReadAndEncodePhoneNumber:50 - 750612/531/075-3: um ein Rad je Bad
2019-08-13 01:17:31 INFO  ReadAndEncodePhoneNumber:50 - -53-/029563539-4: As Erz Midas 9 4
2019-08-13 01:17:33 INFO  ReadAndEncodePhoneNumber:50 - -0--: 0
2019-08-13 01:17:33 INFO  ReadAndEncodePhoneNumber:50 - 15084: ja elf
2019-08-13 01:17:35 INFO  ReadAndEncodePhoneNumber:50 - 3009: See 9
2019-08-13 01:17:35 INFO  ReadAndEncodePhoneNumber:50 - 1: 1
2019-08-13 01:17:36 INFO  ReadAndEncodePhoneNumber:50 - 1588--/0: ja O"l 0
2019-08-13 01:17:36 INFO  ReadAndEncodePhoneNumber:50 - 1588--/0: ja Po 0
2019-08-13 01:17:37 INFO  ReadAndEncodePhoneNumber:50 - /9: 9
2019-08-13 01:17:38 INFO  ReadAndEncodePhoneNumber:50 - 6-: 6
2019-08-13 01:17:39 INFO  ReadAndEncodePhoneNumber:50 - -9536-2/02: Gas Ire 2
2019-08-13 01:17:39 INFO  ReadAndEncodePhoneNumber:50 - 3/-03: des
2019-08-13 01:17:39 INFO  ReadAndEncodePhoneNumber:50 - 53104845: As je tot 5
2019-08-13 01:17:39 INFO  ReadAndEncodePhoneNumber:50 - 9092172: Zeh 2 nur
2019-08-13 01:17:39 INFO  ReadAndEncodePhoneNumber:50 - 9092172: Zeh 2 Jux
2019-08-13 01:17:40 INFO  ReadAndEncodePhoneNumber:50 - 210268244/: 2 Nerv Ort 4
2019-08-13 01:17:40 INFO  ReadAndEncodePhoneNumber:50 - 94: 9 4
2019-08-13 01:17:40 INFO  ReadAndEncodePhoneNumber:50 - 18-455-89/35: Not Malz da
2019-08-13 01:17:41 INFO  ReadAndEncodePhoneNumber:50 - 87: ok
2019-08-13 01:17:41 INFO  ReadAndEncodePhoneNumber:50 - 87: ob
2019-08-13 01:17:42 INFO  ReadAndEncodePhoneNumber:50 - 65//: im
2019-08-13 01:17:45 INFO  ReadAndEncodePhoneNumber:50 - 6-81/: Ion
2019-08-13 01:17:45 INFO  ReadAndEncodePhoneNumber:50 - 6-81/: von
2019-08-13 01:17:46 INFO  ReadAndEncodePhoneNumber:50 - 2//58: Wal
2019-08-13 01:17:47 INFO  ReadAndEncodePhoneNumber:50 - 8576: lau 6
2019-08-13 01:17:48 DEBUG PhoneNumberEncodingTask:45 - Successfully completed encoding of phone numbers
